Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Full Text Search Engine as Scalable k-Nearest Neighbor Recommendation System","Artificial Intelligence in Theory and Practice III","","","","10.1007/978-3-642-15286-3_16","Ján SuchalPavol Návrat","2010","http://link.springer.com/chapter/10.1007/978-3-642-15286-3_16","Chapter"
"Comparative teaching effectiveness of radio and television","Audiovisual communication review","","7","2","10.1007/BF02766854","Lionel C. BarrowBruce H. Westley","1959","http://link.springer.com/article/10.1007/BF02766854","Article"
"Introduction: Old and New Media After Katrina","Old and New Media after Katrina","","","","10.1057/9780230112100_1","Diane Negra","2010","http://link.springer.com/chapter/10.1057/9780230112100_1","Chapter"
"Transaktionshäufigkeit als Indikator für die Angebotsgestaltung bei deutschen Online-Brokern","der markt","","45","1","10.1007/BF03032168","Dennis KundischAlexander Krammer","2006","http://link.springer.com/article/10.1007/BF03032168","Article"
"Ritual Critique and the New Pedagogy","Rituals and Student Identity in Education","","","","10.1057/9780230117167_7","Richard A. QuantzTerry O’ConnorPeter Magolda","2011","http://link.springer.com/chapter/10.1057/9780230117167_7","Chapter"
"Combining Collaborative Filtering and Sentiment Classification for Improved Movie Recommendations","Multi-disciplinary Trends in Artificial Intelligence","","","","10.1007/978-3-642-25725-4_4","Vivek Kumar SinghMousumi MukherjeeGhanshyam Kumar Mehta","2011","http://link.springer.com/chapter/10.1007/978-3-642-25725-4_4","Chapter"
"Log-Based Reading Speed Prediction: A Case Study on War and Peace","Analysis of Images, Social Networks and Texts","","","","10.1007/978-3-030-37334-4_11","Igor TukhPavel BraslavskiKseniya Buraya","2019","http://link.springer.com/chapter/10.1007/978-3-030-37334-4_11","Chapter"
"Proaktives Verkaufen","Erfolgreich verkaufen im B2B","","","","10.1007/978-3-658-03951-6_3","Hartmut SieckAndreas Goldmann","2014","http://link.springer.com/chapter/10.1007/978-3-658-03951-6_3","Chapter"
"We Know We Are Hypocrites, But Do We Believe It? The Limits and Possibilities of Hypocrisy Discourse for Sustainable Consumption","Sustainable Consumption and Production, Volume I","","","","10.1007/978-3-030-56371-4_20","Darren FleetShane GunsterMatthew Paterson","2021","http://link.springer.com/chapter/10.1007/978-3-030-56371-4_20","Chapter"
"Janek Wasserman: The Marginal Revolutionaries: how Austrian economists fought the war of ideas","Business Economics","","55","3","10.1057/s11369-020-00172-6","Alex Tabarrok","2020","http://link.springer.com/article/10.1057/s11369-020-00172-6","Article"
"Singing Amid Uncertainty: Yeats’s Closing Questions","Yeats Annual No. 2","","","","10.1007/978-1-349-06203-4_3","Lee Zimmerman","1983","http://link.springer.com/chapter/10.1007/978-1-349-06203-4_3","Chapter"
"Organizational Networks and Corporate Social Capital","Corporate Social Capital and Liability","","","","10.1007/978-1-4615-5027-3_2","David Knoke","1999","http://link.springer.com/chapter/10.1007/978-1-4615-5027-3_2","Chapter"
"Hostage Negotiation as a Team Enterprise","Group","","23","2","10.1023/A:1023084206051","Charles BahnRobert J. Louden","1999","http://link.springer.com/article/10.1023/A%3A1023084206051","Article"
"Ten Myths of the Energy Industry and Futures Market","Investing in Energy","","","","10.1057/9781137358479_16","Michael C. Thomsett","2014","http://link.springer.com/chapter/10.1057/9781137358479_16","Chapter"
"Feature Based Informative Model for Discriminating Favorite Items from Unrated Ones","Web Technologies and Applications","","","","10.1007/978-3-642-29253-8_13","Bing ChengTianqi ChenDiyi YangWeinan ZhangYongqiang WangYong Yu","2012","http://link.springer.com/chapter/10.1007/978-3-642-29253-8_13","Chapter"
"Advances in Collaborative Filtering","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_5","Yehuda KorenRobert Bell","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_5","Chapter"
"Topic model for analyzing purchase data with price information","Data Mining and Knowledge Discovery","","26","3","10.1007/s10618-012-0281-y","Tomoharu IwataHiroshi Sawada","2013","http://link.springer.com/article/10.1007/s10618-012-0281-y","Article"
"Efficient Clustering of Web-Derived Data Sets","Machine Learning and Data Mining in Pattern Recognition","","","","10.1007/978-3-642-03070-3_30","Luís SarmentoAlexander KehlenbeckEugénio OliveiraLyle Ungar","2009","http://link.springer.com/chapter/10.1007/978-3-642-03070-3_30","Chapter"
"Ansätze zur empirischen Untersuchung des Persona-Konzeptes für fiktionale Figuren","Fernsehen als „Beziehungskiste“","","","","10.1007/978-3-322-83274-0_7","Stefan Jenzowsky","1996","http://link.springer.com/chapter/10.1007/978-3-322-83274-0_7","Chapter"
"Introduction","Fracking and the Environment","","","","10.1007/978-3-030-59121-2_1","Daniel J. Soeder","2021","http://link.springer.com/chapter/10.1007/978-3-030-59121-2_1","Chapter"
"Influence Diffusion in Social Networks","Optimization in Science and Engineering","","","","10.1007/978-1-4939-0808-0_27","Wen XuWeili WuLidan FanZaixin LuDing-Zhu Du","2014","http://link.springer.com/chapter/10.1007/978-1-4939-0808-0_27","Chapter"
"XML Structural Similarity Search Using MapReduce","Web-Age Information Management","","","","10.1007/978-3-642-14246-8_19","Peisen YuanChaofeng ShaXiaoling WangBin YangAoying ZhouSu Yang","2010","http://link.springer.com/chapter/10.1007/978-3-642-14246-8_19","Chapter"
"Random Activities Theory: The Case for ‘Black Swan’ Criminology","Critical Criminology","","18","1","10.1007/s10612-009-9088-6","Timothy GriffinB. Grant Stitt","2010","http://link.springer.com/article/10.1007/s10612-009-9088-6","Article"
"ClipIt: Supporting Social Reflective Learning through Student-Made Educational Videos","Open Learning and Teaching in Educational Communities","","","","10.1007/978-3-319-11200-8_51","Pablo LlinásPablo HayaMiguel A. GutierrezEstefanía MartínJorge CastellanosIsidoro HernánJaime Urquiza","2014","http://link.springer.com/chapter/10.1007/978-3-319-11200-8_51","Chapter"
"Combining a Content Filtering Heuristic and Sentiment Analysis for Movie Recommendations","Computer Networks and Intelligent Computing","","","","10.1007/978-3-642-22786-8_83","Vivek Kumar SinghMousumi MukherjeeGhanshyam Kumar Mehta","2011","http://link.springer.com/chapter/10.1007/978-3-642-22786-8_83","Chapter"
"Collective Development","Three Worlds of Collective Human Experience: Individual Life, Social Change, and Human Evolution","","","","10.1007/978-3-319-98195-6_11","Victor N. Shaw","2019","http://link.springer.com/chapter/10.1007/978-3-319-98195-6_11","Chapter"
"“Leave Me Alone”","Dialectical Democracy through Christian Thought","","","","10.1057/9781137342539_5","David R. Brockman","2013","http://link.springer.com/chapter/10.1057/9781137342539_5","Chapter"
"Locality Sensitive Hashing for Similarity Search Using MapReduce on Large Scale Data","Language Processing and Intelligent Information Systems","","","","10.1007/978-3-642-38634-3_19","Radosław Szmit","2013","http://link.springer.com/chapter/10.1007/978-3-642-38634-3_19","Chapter"
"Tropical Cyclone Warnings and the Factors that Influence Response: The Trinidad and Tobago Experience","Early Warning Systems for Natural Disaster Reduction","","","","10.1007/978-3-642-55903-7_107","Steve R. Pollonais","2003","http://link.springer.com/chapter/10.1007/978-3-642-55903-7_107","Chapter"
"Technische Entwicklung und gesellschaftliche Erwartungen: Eine kurze politische Ideengeschichte des Internets","Das Internet in Wahlkämpfen","","","","10.1007/978-3-658-01012-6_2","Andreas JungherrHarald Schoen","2013","http://link.springer.com/chapter/10.1007/978-3-658-01012-6_2","Chapter"
"Social construction of “reality”","Integration by Cooperation","","","","10.1007/978-3-211-99416-0_2","Dr. Eric Dieth","2011","http://link.springer.com/chapter/10.1007/978-3-211-99416-0_2","Chapter"
"Veränderungen logistischer Funktionsbereiche in den Unternehmen durch Konzepte des e-Business","e-Logistik","","","","10.1007/978-3-642-18599-1_4","Dr.-Ing. Frank Straube","2004","http://link.springer.com/chapter/10.1007/978-3-642-18599-1_4","Chapter"
"Opinion helpfulness prediction in the presence of “words of few mouths”","World Wide Web","","15","2","10.1007/s11280-011-0127-3","Richong ZhangThomas TranYongyi Mao","2012","http://link.springer.com/article/10.1007/s11280-011-0127-3","Article"
"The Effects of Television Advertising and Product Class Involvement on Attribution Processes and Level of Attribute Confidence","Proceedings of the 1993 Academy of Marketing Science (AMS) Annual Conference","","","","10.1007/978-3-319-13159-7_12","Paul MerenskiWilliam F. LewisWilliam S. Sekely","2015","http://link.springer.com/chapter/10.1007/978-3-319-13159-7_12","Chapter"
"Predictions of life after oprah: A glimpse at the power of book club readers","Publishing Research Quarterly","","18","3","10.1007/s12109-002-0009-8","DeNel Rehberg Sedo","2002","http://link.springer.com/article/10.1007/s12109-002-0009-8","Article"
"Large-Scale Parallel Collaborative Filtering for the Netflix Prize","Algorithmic Aspects in Information and Management","","","","10.1007/978-3-540-68880-8_32","Yunhong ZhouDennis WilkinsonRobert SchreiberRong Pan","2008","http://link.springer.com/chapter/10.1007/978-3-540-68880-8_32","Chapter"
"MapReduce Algorithms for Big Data Analysis","Databases in Networked Information Systems","","","","10.1007/978-3-642-37134-9_3","Kyuseok Shim","2013","http://link.springer.com/chapter/10.1007/978-3-642-37134-9_3","Chapter"
"Diffusion of Information","Optimal Social Influence","","","","10.1007/978-3-030-37775-5_2","Wen XuWeili Wu","2020","http://link.springer.com/chapter/10.1007/978-3-030-37775-5_2","Chapter"
"Caldwell University’s Department of Applied Behavior Analysis","The Behavior Analyst","","39","1","10.1007/s40614-016-0058-5","Kenneth F. ReeveSharon A. Reeve","2016","http://link.springer.com/article/10.1007/s40614-016-0058-5","Article"
"An Efficient Webpage Classification Algorithm Based on LSH","Intelligent Computation in Big Data Era","","","","10.1007/978-3-662-46248-5_31","Junjun LiuHaichun SunZhijun Ding","2015","http://link.springer.com/chapter/10.1007/978-3-662-46248-5_31","Chapter"
"Large Scale Rich Media Information Search: Challenges and Opportunities","Advances in Multimedia Information Processing - PCM 2010","","","","10.1007/978-3-642-15696-0_2","Zhiyong ChengJialie Shen","2010","http://link.springer.com/chapter/10.1007/978-3-642-15696-0_2","Chapter"
"Cold Start Problem: A Lightweight Approach","New Challenges in Distributed Information Filtering and Retrieval","","","","10.1007/978-3-642-31546-6_2","Leo IaquintaGiovanni SemeraroPasquale Lops","2013","http://link.springer.com/chapter/10.1007/978-3-642-31546-6_2","Chapter"
"Online Recommender System Based on Social Network Regularization","Neural Information Processing","","","","10.1007/978-3-319-12637-1_61","Zhuo WangHongtao Lu","2014","http://link.springer.com/chapter/10.1007/978-3-319-12637-1_61","Chapter"
"The Algerian War: Transcending Splintered Memories","North Africans in Contemporary France: Becoming Visible","","","","10.1007/978-1-137-06698-5_8","Richard L. Derderian","2004","http://link.springer.com/chapter/10.1007/978-1-137-06698-5_8","Chapter"
"Incremental Learning of Triadic PLSA for Collaborative Filtering","Active Media Technology","","","","10.1007/978-3-642-04875-3_13","Hu WuYongji Wang","2009","http://link.springer.com/chapter/10.1007/978-3-642-04875-3_13","Chapter"
"What You Can Do with Coordinated Samples","Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques","","","","10.1007/978-3-642-40328-6_32","Edith CohenHaim Kaplan","2013","http://link.springer.com/chapter/10.1007/978-3-642-40328-6_32","Chapter"
"DC Proposal: Decision Support Methods in Community-Driven Knowledge Curation Platforms","The Semantic Web – ISWC 2011","","","","10.1007/978-3-642-25093-4_26","Razan Paul","2011","http://link.springer.com/chapter/10.1007/978-3-642-25093-4_26","Chapter"
"Software engineering standards for epidemiological models","History and Philosophy of the Life Sciences","","42","4","10.1007/s40656-020-00347-6","Jack K. HornerJohn F. Symons","2020","http://link.springer.com/article/10.1007/s40656-020-00347-6","Article"
"Comments on Eliza darling’s “O Sister”","Dialectical Anthropology","","33","1","10.1007/s10624-009-9102-0","Edward C. Hansen","2009","http://link.springer.com/article/10.1007/s10624-009-9102-0","Article"
"Sketching for Big Data Recommender Systems Using Fast Pseudo-random Fingerprints","Automata, Languages, and Programming","","","","10.1007/978-3-642-39212-2_41","Yoram BachrachEly Porat","2013","http://link.springer.com/chapter/10.1007/978-3-642-39212-2_41","Chapter"
