Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Overview of NewsREEL’16: Multi-dimensional Evaluation of Real-Time Stream-Recommendation Algorithms","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-44564-9_27","Benjamin KilleAndreas LommatzschGebrekirstos G. GebremeskelFrank HopfgartnerMartha LarsonJonas SeilerDavide MalagoliAndrás SerényTorben BrodtArjen P. de Vries","2016","http://link.springer.com/chapter/10.1007/978-3-319-44564-9_27","Chapter"
"Semantics-Enabled User Interest Mining","The Semantic Web. Latest Advances and New Domains","","","","10.1007/978-3-319-18818-8_54","Fattane Zarrinkalam","2015","http://link.springer.com/chapter/10.1007/978-3-319-18818-8_54","Chapter"
"An Error Correction Methodology for Time Dependent Ontologies","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-22056-2_52","Brett DruryJ. J. AlmeidaM. H. M. Morais","2011","http://link.springer.com/chapter/10.1007/978-3-642-22056-2_52","Chapter"
"TUMS: Twitter-Based User Modeling Service","The Semantic Web: ESWC 2011 Workshops","","","","10.1007/978-3-642-25953-1_22","Ke TaoFabian AbelQi GaoGeert-Jan Houben","2012","http://link.springer.com/chapter/10.1007/978-3-642-25953-1_22","Chapter"
"Representing the Filter Bubble: Towards a Model to Diversification in News","Advances in Conceptual Modeling","","","","10.1007/978-3-030-34146-6_22","Gabriel Machado Lunardi","2019","http://link.springer.com/chapter/10.1007/978-3-030-34146-6_22","Chapter"
"Content Recommendation Based on Topic Modeling","Computational Methods and Data Engineering","","","","10.1007/978-981-15-6876-3_1","Sachin PapnejaKapil SharmaNitesh Khilwani","2021","http://link.springer.com/chapter/10.1007/978-981-15-6876-3_1","Chapter"
"Knowledge Graphs in Recommender Systems","Inventive Systems and Control","","","","10.1007/978-981-16-1395-1_1","T. K. NirikshaG. Aghila","2021","http://link.springer.com/chapter/10.1007/978-981-16-1395-1_1","Chapter"
"A proactive personalised mobile recommendation system using analytic hierarchy process and Bayesian network","Journal of Internet Services and Applications","","3","2","10.1007/s13174-012-0061-3","Kam Fung YeungYanyan YangDavid Ndzi","2012","http://link.springer.com/article/10.1007/s13174-012-0061-3","Article"
"Time-Sensitive Topic-Based Communities on Twitter","Advances in Artificial Intelligence","","","","10.1007/978-3-319-34111-8_25","Hossein FaniFattane ZarrinkalamEbrahim BagheriWeichang Du","2016","http://link.springer.com/chapter/10.1007/978-3-319-34111-8_25","Chapter"
"Discerning Relevant Model Features in a Content-based Collaborative Recommender System","Preference Learning","","","","10.1007/978-3-642-14125-6_20","Alejandro BellogínIván CantadorPablo CastellsÁlvaro Ortigosa","2011","http://link.springer.com/chapter/10.1007/978-3-642-14125-6_20","Chapter"
"Discovery Science","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88942-5","Carlos SoaresLuis Torgo","2021","http://link.springer.com/book/10.1007/978-3-030-88942-5","Book"
"Optimization of Hypergraph Based News Recommendation by Binary Decision Tree","Intelligence Science and Big Data Engineering","","","","10.1007/978-3-030-02698-1_8","Wanrong GuXianfen XieYijun MaoYichen He","2018","http://link.springer.com/chapter/10.1007/978-3-030-02698-1_8","Chapter"
"Encyclopedia of GIS","","","","","10.1007/978-3-319-17885-1","Shashi ShekharHui XiongXun Zhou","2017","http://link.springer.com/referencework/10.1007/978-3-319-17885-1","ReferenceWork"
"Web Information Systems Engineering – WISE 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91560-5","Wenjie ZhangLei ZouProf. Dr. Zakaria MaamarDr. Lu Chen","2021","http://link.springer.com/book/10.1007/978-3-030-91560-5","Book"
"Session-aware news recommendations using random walks on time-evolving heterogeneous information networks","User Modeling and User-Adapted Interaction","","30","4","10.1007/s11257-020-09261-9","Panagiotis SymeonidisLidija KirjackajaMarkus Zanker","2020","http://link.springer.com/article/10.1007/s11257-020-09261-9","Article"
"Towards reproducibility in recommender-systems research","User Modeling and User-Adapted Interaction","","26","1","10.1007/s11257-016-9174-x","Joeran BeelCorinna BreitingerStefan LangerAndreas LommatzschBela Gipp","2016","http://link.springer.com/article/10.1007/s11257-016-9174-x","Article"
"News@hand: A Semantic Web Approach to Recommending News","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/978-3-540-70987-9_34","Iván CantadorAlejandro BellogínPablo Castells","2008","http://link.springer.com/chapter/10.1007/978-3-540-70987-9_34","Chapter"
"Semantic user profiling techniques for personalised multimedia recommendation","Multimedia Systems","","16","4 - 5","10.1007/s00530-010-0189-6","Frank HopfgartnerJoemon M. Jose","2010","http://link.springer.com/article/10.1007/s00530-010-0189-6","Article"
"A Taxonomy of Recommender Agents on the Internet","Artificial Intelligence Review","","19","4","10.1023/A:1022850703159","Miquel MontanerBeatriz LópezJosep Lluís de la Rosa","2003","http://link.springer.com/article/10.1023/A%3A1022850703159","Article"
"Multi-stakeholder News Recommendation Using Hypergraph Learning","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_36","Alireza GharahighehiCeline VensKonstantinos Pliakos","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_36","Chapter"
"Evaluating Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_7","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_7","Chapter"
"Personalized News Recommendation Using Ontologies Harvested from the Web","Web-Age Information Management","","","","10.1007/978-3-642-38562-9_79","Junyang RaoAixia JiaYansong FengDongyan Zhao","2013","http://link.springer.com/chapter/10.1007/978-3-642-38562-9_79","Chapter"
"Cold Start in Recommender Systems—A Survey from Domain Perspective","Intelligent Data Communication Technologies and Internet of Things","","","","10.1007/978-981-15-9509-7_19","Rachna SethiMonica Mehrotra","2021","http://link.springer.com/chapter/10.1007/978-981-15-9509-7_19","Chapter"
"A survey on trustworthy model of recommender system","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-021-01085-z","Govind Kumar JhaManish GaurPreetish RanjanHardeo Kumar Thakur","2021","http://link.springer.com/article/10.1007/s13198-021-01085-z","Article"
"Affective recommender systems in online news industry: how emotions influence reading choices","User Modeling and User-Adapted Interaction","","29","2","10.1007/s11257-018-9213-x","Jan MizgajskiMikołaj Morzy","2019","http://link.springer.com/article/10.1007/s11257-018-9213-x","Article"
"Matching Recommendation Technologies and Domains","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_11","Robin BurkeMaryam Ramezani","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_11","Chapter"
"Adaptive News Access","The Adaptive Web","","","","10.1007/978-3-540-72079-9_18","Daniel BillsusMichael J. Pazzani","2007","http://link.springer.com/chapter/10.1007/978-3-540-72079-9_18","Chapter"
"Aggregation Functions for Recommender Systems","Recommender Systems Handbook","","","","10.1007/978-1-4899-7637-6_23","Gleb BeliakovTomasa CalvoSimon James","2015","http://link.springer.com/chapter/10.1007/978-1-4899-7637-6_23","Chapter"
"Topic Tracking in News Streams Using Latent Factor Models","Innovations for Community Services","","","","10.1007/978-3-319-49466-1_12","Jens MeinersAndreas Lommatzsch","2016","http://link.springer.com/chapter/10.1007/978-3-319-49466-1_12","Chapter"
"Dynamic attention-integrated neural network for session-based news recommendation","Machine Learning","","108","10","10.1007/s10994-018-05777-9","Lemei ZhangPeng LiuJon Atle Gulla","2019","http://link.springer.com/article/10.1007/s10994-018-05777-9","Article"
"NCR-KG: news community recommendation with knowledge graph","CCF Transactions on Pervasive Computing and Interaction","","1","4","10.1007/s42486-019-00020-3","Liting BaiLin LiuShengli SongYueshen Xu","2019","http://link.springer.com/article/10.1007/s42486-019-00020-3","Article"
"Inferring user interests in microblogging social networks: a survey","User Modeling and User-Adapted Interaction","","28","3","10.1007/s11257-018-9207-8","Guangyuan PiaoJohn G. Breslin","2018","http://link.springer.com/article/10.1007/s11257-018-9207-8","Article"
"Recommender system architecture based on Mahout and a main memory database","The Journal of Supercomputing","","74","1","10.1007/s11227-017-2111-x","Zhegao PiaoSeong Joon YooYeong Hyeon GuJaechun NoZhiyan JiangHelin Yin","2018","http://link.springer.com/article/10.1007/s11227-017-2111-x","Article"
"Improving Rocchio Algorithm for Updating User Profile in Recommender Systems","Web Information Systems Engineering – WISE 2013","","","","10.1007/978-3-642-41230-1_14","Chong WangYao ShenHuan YangMinyi Guo","2013","http://link.springer.com/chapter/10.1007/978-3-642-41230-1_14","Chapter"
"Optimizing and Evaluating Stream-Based News Recommendation Algorithms","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-24027-5_40","Andreas LommatzschSebastian Werner","2015","http://link.springer.com/chapter/10.1007/978-3-319-24027-5_40","Chapter"
"Aggregation of Preferences in Recommender Systems","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_22","Gleb BeliakovTomasa CalvoSimon James","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_22","Chapter"
"Research on Understanding the Effect of Deep Learning on User Preferences","Arabian Journal for Science and Engineering","","46","4","10.1007/s13369-020-05112-2","Garima GuptaRahul Katarya","2021","http://link.springer.com/article/10.1007/s13369-020-05112-2","Article"
"How do people judge the credibility of algorithmic sources?","AI & SOCIETY","","37","1","10.1007/s00146-021-01158-4","Donghee Shin","2022","http://link.springer.com/article/10.1007/s00146-021-01158-4","Article"
"Benchmark of Rule-Based Classifiers in the News Recommendation Task","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-24027-5_11","Tomáš KliegrJaroslav Kuchař","2015","http://link.springer.com/chapter/10.1007/978-3-319-24027-5_11","Chapter"
"Evaluating the effectiveness of explanations for recommender systems","User Modeling and User-Adapted Interaction","","22","4 - 5","10.1007/s11257-011-9117-5","Nava TintarevJudith Masthoff","2012","http://link.springer.com/article/10.1007/s11257-011-9117-5","Article"
"Resampling Approaches to Improve News Importance Prediction","Advances in Intelligent Data Analysis XIII","","","","10.1007/978-3-319-12571-8_19","Nuno MonizLuís TorgoFátima Rodrigues","2014","http://link.springer.com/chapter/10.1007/978-3-319-12571-8_19","Chapter"
"Content-Based Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_4","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_4","Chapter"
"Exploiting Big Data for Enhanced Representations in Content-Based Recommender Systems","E-Commerce and Web Technologies","","","","10.1007/978-3-642-39878-0_17","Fedelucio NarducciCataldo MustoGiovanni SemeraroPasquale LopsMarco de Gemmis","2013","http://link.springer.com/chapter/10.1007/978-3-642-39878-0_17","Chapter"
"Design, User Experience, and Usability. Design for Contemporary Interactive Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49760-6","Dr. Aaron MarcusElizabeth Rosenzweig","2020","http://link.springer.com/book/10.1007/978-3-030-49760-6","Book"
"Recommender Systems in Fashion and Retail","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-94016-4","Prof. Nima DokoohakiShatha JaradatHumberto Jesús Corona PampínDr. Reza Shirvany","2022","http://link.springer.com/book/10.1007/978-3-030-94016-4","Book"
"Computing Science, Communication and Security","Communications in Computer and Information Science","","","","10.1007/978-3-030-76776-1","Nirbhay ChaubeySatyen ParikhKiran Amin","2021","http://link.springer.com/book/10.1007/978-3-030-76776-1","Book"
"Neural Information Processing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-92185-9","Dr. Teddy MantoroMinho LeeMedia Anugerah AyuDr. Kok Wai WongDr. Achmad Nizar Hidayanto","2021","http://link.springer.com/book/10.1007/978-3-030-92185-9","Book"
"Information and Communication Technology for Competitive Strategies (ICTCS 2020)","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0882-7","Prof. M. Shamim KaiserProf. Juanying XieProf. Dr. Vijay Singh Rathore","2021","http://link.springer.com/book/10.1007/978-981-16-0882-7","Book"
"Data and Information in Online Environments","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-77417-2","Edgar Bisset Álvarez","2021","http://link.springer.com/book/10.1007/978-3-030-77417-2","Book"
"User Modeling, Adaption and Personalization","Lecture Notes in Computer Science","","","","10.1007/978-3-642-22362-4","Joseph A. KonstanRicardo ConejoJosé L. MarzoNuria Oliver","2011","http://link.springer.com/book/10.1007/978-3-642-22362-4","Book"
"Innovations in Cyber Physical Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4149-7","Prof. Jawar SinghDr. Sudhir KumarDr. Umakanta Choudhury","2021","http://link.springer.com/book/10.1007/978-981-16-4149-7","Book"
"Smart Computing Techniques and Applications","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-1502-3","Dr. Suresh Chandra SatapathyDr. Vikrant BhatejaProf. Margarita N. FavorskayaDr. T. Adilakshmi","2021","http://link.springer.com/book/10.1007/978-981-16-1502-3","Book"
"Media and Change Management","","","","","10.1007/978-3-030-86680-8","Prof. Dr. Matthias KarmasinProf. Dr. Sandra DiehlDr. Isabell Koinig","2022","http://link.springer.com/book/10.1007/978-3-030-86680-8","Book"
"Advances in Computational Collective Intelligence","Communications in Computer and Information Science","","","","10.1007/978-3-030-88113-9","Krystian WojtkiewiczProf. Dr. Jan TreurDr. Elias PimenidisMarcin Maleszka","2021","http://link.springer.com/book/10.1007/978-3-030-88113-9","Book"
"Ubiquitous Security","Communications in Computer and Information Science","","","","10.1007/978-981-19-0468-4","Guojun WangKim-Kwang Raymond ChooRyan K. L. KoYang XuBruno Crispo","2022","http://link.springer.com/book/10.1007/978-981-19-0468-4","Book"
"Human-Computer Interaction – INTERACT 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85610-6","Carmelo ArditoRosa LanzilottiAlessio MaliziaHelen PetrieAntonio PiccinnoDr. Giuseppe DesoldaKori Inkpen","2021","http://link.springer.com/book/10.1007/978-3-030-85610-6","Book"
"HCI in Business, Government and Organizations","Lecture Notes in Computer Science","","","","10.1007/978-3-030-50341-3","Dr. Fiona Fui-Hoon NahDr. Keng Siau","2020","http://link.springer.com/book/10.1007/978-3-030-50341-3","Book"
"Towards Open and Trustworthy Digital Societies","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91669-5","Prof. Hao-Ren KeChei Sian LeeKazunari Sugiyama","2021","http://link.springer.com/book/10.1007/978-3-030-91669-5","Book"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85928-2","Zhe LiuFan WuProf. Sajal K. Das","2021","http://link.springer.com/book/10.1007/978-3-030-85928-2","Book"
"Heterogeneous Graph Representation Learning and Applications","Artificial Intelligence: Foundations, Theory, and Algorithms","","","","10.1007/978-981-16-6166-2","Prof. Chuan ShiProf. Xiao WangProf. Philip S. Yu","2022","http://link.springer.com/book/10.1007/978-981-16-6166-2","Book"
