Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Real Time Content-Based News Recommendation in Turkish with Apache Spark","Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making","","","","10.1007/978-3-030-23756-1_29","Altan ÇakırMert CandarDidem MakaroğluKoray Kocabaş","2020","http://link.springer.com/chapter/10.1007/978-3-030-23756-1_29","Chapter"
"News Recommendations by Combining Intra-session with Inter-session and Content-Based Probabilistic Modelling","Computational Collective Intelligence","","","","10.1007/978-3-030-88081-1_12","Panagiotis SymeonidisDmitry ChaltsevMarkus ZankerYannis Manolopoulos","2021","http://link.springer.com/chapter/10.1007/978-3-030-88081-1_12","Chapter"
"News Recommender System Based on Topic Detection and Tracking","Rough Sets and Knowledge Technology","","","","10.1007/978-3-642-02962-2_87","Jing QiuLejian LiaoPeng Li","2009","http://link.springer.com/chapter/10.1007/978-3-642-02962-2_87","Chapter"
"Deep News Recommendation with Contextual User Profiling and Multifaceted Article Representation","Web Information Systems Engineering – WISE 2021","","","","10.1007/978-3-030-91560-5_17","Dai Hoang TranSalma HamadMunazza ZaibAbdulwahab AljubairyQuan Z. ShengWei Emma ZhangNguyen H. TranNguyen Lu Dang Khoa","2021","http://link.springer.com/chapter/10.1007/978-3-030-91560-5_17","Chapter"
"Optimizing the recency-relevance-diversity trade-offs in non-personalized news recommendations","Information Retrieval Journal","","22","5","10.1007/s10791-019-09351-2","Abhijnan ChakrabortySaptarshi GhoshNiloy GangulyKrishna P. Gummadi","2019","http://link.springer.com/article/10.1007/s10791-019-09351-2","Article"
"Dynamic attention-integrated neural network for session-based news recommendation","Machine Learning","","108","10","10.1007/s10994-018-05777-9","Lemei ZhangPeng LiuJon Atle Gulla","2019","http://link.springer.com/article/10.1007/s10994-018-05777-9","Article"
"Multi-stakeholder News Recommendation Using Hypergraph Learning","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_36","Alireza GharahighehiCeline VensKonstantinos Pliakos","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_36","Chapter"
"Diversification in session-based news recommender systems","Personal and Ubiquitous Computing","","","","10.1007/s00779-021-01606-4","Alireza GharahighehiCeline Vens","2021","http://link.springer.com/article/10.1007/s00779-021-01606-4","Article"
"A Novel Semantic Clustering Approach for Reasonable Diversity in News Recommendations","Computational Intelligence in Data Mining - Volume 1","","","","10.1007/978-81-322-2205-7_41","Punam BediShikha AgarwaArchana SinghalEna JainGunjan Gupta","2015","http://link.springer.com/chapter/10.1007/978-81-322-2205-7_41","Chapter"
"A Highly Available Real-Time News Recommender Based on Apache Spark","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-65813-1_17","Jaschar DomannAndreas Lommatzsch","2017","http://link.springer.com/chapter/10.1007/978-3-319-65813-1_17","Chapter"
"A Serendipity Model for News Recommendation","KI 2015: Advances in Artificial Intelligence","","","","10.1007/978-3-319-24489-1_9","M. JendersT. LindhauerG. KasneciR. KrestelF. Naumann","2015","http://link.springer.com/chapter/10.1007/978-3-319-24489-1_9","Chapter"
"Stochastic Models to Improve E-News Recommender Systems","Advances in Conceptual Modeling","","","","10.1007/978-3-030-34146-6_24","Bráulio Miranda Veloso","2019","http://link.springer.com/chapter/10.1007/978-3-030-34146-6_24","Chapter"
"Benchmark of Rule-Based Classifiers in the News Recommendation Task","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-24027-5_11","Tomáš KliegrJaroslav Kuchař","2015","http://link.springer.com/chapter/10.1007/978-3-319-24027-5_11","Chapter"
"Terms of a Feather: Content-Based News Recommendation and Discovery Using Twitter","Advances in Information Retrieval","","","","10.1007/978-3-642-20161-5_44","Owen PhelanKevin McCarthyMike BennettBarry Smyth","2011","http://link.springer.com/chapter/10.1007/978-3-642-20161-5_44","Chapter"
"A Proposal for News Recommendation Based on Clustering Techniques","Trends in Applied Intelligent Systems","","","","10.1007/978-3-642-13033-5_49","Sergio Cleger-TamayoJuan M. Fernández-LunaJuan F. HueteRamiro Pérez-VázquezJulio C. Rodríguez Cano","2010","http://link.springer.com/chapter/10.1007/978-3-642-13033-5_49","Chapter"
"Expectation, Perception, and Accuracy in News Recommender Systems: Understanding the Relationships of User Evaluation Criteria Using Direct Feedback","HCI International 2021 - Late Breaking Papers: Design and User Experience","","","","10.1007/978-3-030-90238-4_14","Poornima BelavadiLaura BurbachStefan AhlersMartina ZiefleAndré Calero Valdez","2021","http://link.springer.com/chapter/10.1007/978-3-030-90238-4_14","Chapter"
"Session-aware news recommendations using random walks on time-evolving heterogeneous information networks","User Modeling and User-Adapted Interaction","","30","4","10.1007/s11257-020-09261-9","Panagiotis SymeonidisLidija KirjackajaMarkus Zanker","2020","http://link.springer.com/article/10.1007/s11257-020-09261-9","Article"
"Automated news recommendation in front of adversarial examples and the technical limits of transparency in algorithmic accountability","AI & SOCIETY","","37","1","10.1007/s00146-021-01159-3","Antonin DescampeClément MassartSimon PoelmanFrançois-Xavier StandaertOlivier Standaert","2022","http://link.springer.com/article/10.1007/s00146-021-01159-3","Article"
"Web Information Systems Engineering – WISE 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-91560-5","Wenjie ZhangLei ZouProf. Dr. Zakaria MaamarDr. Lu Chen","2021","http://link.springer.com/book/10.1007/978-3-030-91560-5","Book"
"Heterogeneous Graph Representation Learning and Applications","Artificial Intelligence: Foundations, Theory, and Algorithms","","","","10.1007/978-981-16-6166-2","Prof. Chuan ShiProf. Xiao WangProf. Philip S. Yu","2022","http://link.springer.com/book/10.1007/978-981-16-6166-2","Book"
"LISS 2021","Lecture Notes in Operations Research","","","","10.1007/978-981-16-8656-6","Prof. Xianliang ShiGábor BohácsYixuan MaDaqing GongXiaopu Shang","2022","http://link.springer.com/book/10.1007/978-981-16-8656-6","Book"
"Advances in Knowledge Discovery and Data Mining","Lecture Notes in Computer Science","","","","10.1007/978-3-030-47426-3","Hady W. LauwRaymond Chi-Wing WongAlexandros NtoulasEe-Peng LimSee-Kiong NgSinno Jialin Pan","2020","http://link.springer.com/book/10.1007/978-3-030-47426-3","Book"
"Encyclopedia of Social Network Analysis and Mining","","","","","10.1007/978-1-4939-7131-2","Reda AlhajjJon Rokne","2018","http://link.springer.com/referencework/10.1007/978-1-4939-7131-2","ReferenceWork"
"Privacy and Identity Management. Data for Better Living: AI and Privacy","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-42504-3","Dr. Michael FriedewaldMelek ÖnenProf. Dr. Eva LievensStephan KrennSamuel Fricker","2020","http://link.springer.com/book/10.1007/978-3-030-42504-3","Book"
"All the News That’s Fit to Read: Finding and Recommending News Online","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23765-2_12","Juha LeinoKari-Jouko RäihäSanna Finnberg","2011","http://link.springer.com/chapter/10.1007/978-3-642-23765-2_12","Chapter"
"NCR-KG: news community recommendation with knowledge graph","CCF Transactions on Pervasive Computing and Interaction","","1","4","10.1007/s42486-019-00020-3","Liting BaiLin LiuShengli SongYueshen Xu","2019","http://link.springer.com/article/10.1007/s42486-019-00020-3","Article"
"Recommender Systems Handbook","","","","","10.1007/978-1-4899-7637-6","Francesco RicciLior RokachBracha Shapira","2015","http://link.springer.com/book/10.1007/978-1-4899-7637-6","Book"
"Social Computing and Social Media: Experience Design and Social Network Analysis","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77626-8","Dr. Gabriele Meiselwitz","2021","http://link.springer.com/book/10.1007/978-3-030-77626-8","Book"
"Mobile and Ubiquitous Systems: Computing, Networking and Services","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94822-1","Takahiro HaraHirozumi Yamaguchi","2022","http://link.springer.com/book/10.1007/978-3-030-94822-1","Book"
"Recommender system architecture based on Mahout and a main memory database","The Journal of Supercomputing","","74","1","10.1007/s11227-017-2111-x","Zhegao PiaoSeong Joon YooYeong Hyeon GuJaechun NoZhiyan JiangHelin Yin","2018","http://link.springer.com/article/10.1007/s11227-017-2111-x","Article"
"Computational Collective Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88081-1","Prof. Ngoc Thanh NguyenLazaros IliadisIlias MaglogiannisBogdan Trawiński","2021","http://link.springer.com/book/10.1007/978-3-030-88081-1","Book"
"An Educational News Dataset for Recommender Systems","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_39","Yujie XingItishree MohallickJon Atle GullaÖzlem ÖzgöbekLemei Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_39","Chapter"
"News Diversity and Recommendation Systems: Setting the Interdisciplinary Scene","Privacy and Identity Management. Data for Better Living: AI and Privacy","","","","10.1007/978-3-030-42504-3_7","Glen JorisCamiel ColruytJudith VermeulenStefaan VercoutereFrederik De GroveKristin Van DammeOrphée De ClercqCynthia Van HeeLieven De MarezVeronique HosteEva LievensToon De PessemierLuc Martens","2020","http://link.springer.com/chapter/10.1007/978-3-030-42504-3_7","Chapter"
"How Fake News Affect Trust in the Output of a Machine Learning System for News Curation","Disinformation in Open Online Media","","","","10.1007/978-3-030-61841-4_2","Hendrik HeuerAndreas Breiter","2020","http://link.springer.com/chapter/10.1007/978-3-030-61841-4_2","Chapter"
"Recommender Systems","","","","","10.1007/978-3-319-29659-3","Charu C. Aggarwal","2016","http://link.springer.com/book/10.1007/978-3-319-29659-3","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-21290-2","Paolo GiorginiBarbara Weber","2019","http://link.springer.com/book/10.1007/978-3-030-21290-2","Book"
"Semantic-Based Recommendation Method for Sport News Aggregation System","Research and Practical Issues of Enterprise Information Systems","","","","10.1007/978-3-319-49944-4_3","Quang-Minh NguyenThanh-Tam NguyenTuan-Dung Cao","2016","http://link.springer.com/chapter/10.1007/978-3-319-49944-4_3","Chapter"
"HCI International 2021 - Late Breaking Papers: Design and User Experience","Lecture Notes in Computer Science","","","","10.1007/978-3-030-90238-4","Prof. Constantine StephanidisProf. Marcelo M. SoaresDr. Elizabeth RosenzweigDr. Aaron MarcusSakae YamamotoProf. Hirohiko MoriProf. Pei-Luen Patrick RauDr. Gabriele MeiselwitzXiaowen FangAbbas Moallem","2021","http://link.springer.com/book/10.1007/978-3-030-90238-4","Book"
"User Modeling, Adaption and Personalization","Lecture Notes in Computer Science","","","","10.1007/978-3-642-22362-4","Joseph A. KonstanRicardo ConejoJosé L. MarzoNuria Oliver","2011","http://link.springer.com/book/10.1007/978-3-642-22362-4","Book"
"SSLE: A framework for evaluating the “Filter Bubble” effect on the news aggregator and recommenders","World Wide Web","","","","10.1007/s11280-022-01031-4","Han HanCan WangYunwei ZhaoMin ShuWenlei WangYong Min","2022","http://link.springer.com/article/10.1007/s11280-022-01031-4","Article"
"Personalized News Article Recommendation with Novelty Using Collaborative Filtering Based Rough Set Theory","Mobile Networks and Applications","","22","4","10.1007/s11036-017-0842-9","K. G. SaranyaG. Sudha Sadasivam","2017","http://link.springer.com/article/10.1007/s11036-017-0842-9","Article"
"Stream-Based Recommendations: Online and Offline Evaluation as a Service","Experimental IR Meets Multilinguality, Multimodality, and Interaction","","","","10.1007/978-3-319-24027-5_48","Benjamin KilleAndreas LommatzschRoberto TurrinAndrás SerényMartha LarsonTorben BrodtJonas SeilerFrank Hopfgartner","2015","http://link.springer.com/chapter/10.1007/978-3-319-24027-5_48","Chapter"
"A Personalized and Context-Aware News Offer for Mobile Devices","Web Information Systems and Technologies","","","","10.1007/978-3-319-30996-5_8","Toon De PessemierKris VanheckeLuc Martens","2016","http://link.springer.com/chapter/10.1007/978-3-319-30996-5_8","Chapter"
"A Framework for Analyzing News Images and Building Multimedia-Based Recommender","Innovations for Community Services","","","","10.1007/978-3-030-22482-0_14","Andreas LommatzschBenjamin KilleKevin Styp-RekowskiMax KarlJan Pommering","2019","http://link.springer.com/chapter/10.1007/978-3-030-22482-0_14","Chapter"
"The 2021 International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-89508-2","Prof. John MacintyreDr. Jinghua ZhaoDr. Xiaomeng Ma","2022","http://link.springer.com/book/10.1007/978-3-030-89508-2","Book"
"Advanced Intelligent Systems for Sustainable Development (AI2SD’2020)","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-90639-9","Janusz KacprzykDr. Valentina E. BalasProf. Mostafa Ezziyyani","2022","http://link.springer.com/book/10.1007/978-3-030-90639-9","Book"
"Disinformation in Open Online Media","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87031-7","Dr. Jonathan BrightAnastasia GiachanouViktoria SpaiserFrancesca SpezzanoAnna GeorgeAlexandra Pavliuc","2021","http://link.springer.com/book/10.1007/978-3-030-87031-7","Book"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85928-2","Zhe LiuFan WuProf. Sajal K. Das","2021","http://link.springer.com/book/10.1007/978-3-030-85928-2","Book"
"A Framework for Recommendation of Highly Popular News Lacking Social Feedback","New Generation Computing","","35","4","10.1007/s00354-017-0019-x","Nuno MonizLuís TorgoMagdalini EirinakiPaula Branco","2017","http://link.springer.com/article/10.1007/s00354-017-0019-x","Article"
"News@hand: A Semantic Web Approach to Recommending News","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/978-3-540-70987-9_34","Iván CantadorAlejandro BellogínPablo Castells","2008","http://link.springer.com/chapter/10.1007/978-3-540-70987-9_34","Chapter"
"Social News Feed Recommender","Artificial Intelligence: Methodology, Systems, and Applications","","","","10.1007/978-3-319-10554-3_4","Milen ChechevIvan Koychev","2014","http://link.springer.com/chapter/10.1007/978-3-319-10554-3_4","Chapter"
"Affective recommender systems in online news industry: how emotions influence reading choices","User Modeling and User-Adapted Interaction","","29","2","10.1007/s11257-018-9213-x","Jan MizgajskiMikołaj Morzy","2019","http://link.springer.com/article/10.1007/s11257-018-9213-x","Article"
"The graph-based behavior-aware recommendation for interactive news","Applied Intelligence","","52","2","10.1007/s10489-021-02497-x","Mingyuan MaSen NaHongyu WangCongzhou ChenJin Xu","2022","http://link.springer.com/article/10.1007/s10489-021-02497-x","Article"
